"id_object","object_type","object_subtype","inventory_number","provenience_detail","provenance_detail","id_dating","pharaonic_ruler","id_provenience","place","archaeological_site","archaeological_context","id_location","place","country","lat","lon","current_or_former_provenances","tomb_owner_title_ids","tomb_owner_titles_unicode"
1914,"small finds","jewellery & amulets","E 3860",,,9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Musée du Louvre","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
415,"small finds","tools & implements","ÄM 1284",,"formerly Carl Richard Lepius collection, purchased by Lepsius in Cairo ( Nov 7, 1842)",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Ägyptisches Museum und Papyrussammlung; Collection of Carl Richard Lepsius","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1745,"small finds","tools & implements",,,,9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""",,"22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1744,"small finds","vessels & container","ÄM 1882",,"now missing",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Ägyptisches Museum und Papyrussammlung","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1242,"(tomb) equipment","canopics","144",,,9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Musée municipal Auguste Grasset","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
2248,"architectural unit","tomb","155/USC, 2009/20","Found in the forecourt of Khay (051/USC)",,9,"Amenhotep III–Tutankhamun",179,"Saqqara","Unas-Cemetery","Tomb of Panakhtemdedu",168,"Tomb of Panakhtemdedu (155/USC)","Egypt","N 29°51'57.73""","E 31°13'02.06""",,,
531,"stela","unspecified","SAK 2009-R21","Found in the forecourt of Khay (051/USC)",,9,"Amenhotep III–Tutankhamun",179,"Saqqara","Unas-Cemetery","Tomb of Panakhtemdedu",168,"Tomb of Panakhtemdedu (155/USC)","Egypt","N 29°51'57.73""","E 31°13'02.06""","Main Magazine (Saqqara)",,
1317,"small finds","vessels & container",,,,9,"Amenhotep III–Tutankhamun",180,"Saqqara","Falaise du Bubasteion","Tomb of Amenhotep",180,"Falaise du Bubasteion","Egypt","N 29°52'23.04"" ","E 31°13'25.73""",,"122; 391; 626","ḥr.j pḏ.t; jm.j-rʾ ssm.wt; sẖꜣ.w nfr.w n nb tꜣ.wj"
1316,"(tomb) equipment","coffin",,"excavation of French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie, Tomb of Aperia",,9,"Amenhotep III–Tutankhamun",180,"Saqqara","Falaise du Bubasteion","Tomb of Amenhotep",180,"Falaise du Bubasteion","Egypt","N 29°52'23.04"" ","E 31°13'25.73""",,"122; 391; 626","ḥr.j pḏ.t; jm.j-rʾ ssm.wt; sẖꜣ.w nfr.w n nb tꜣ.wj"
1318,"(tomb) equipment","shabti",,,,9,"Amenhotep III–Tutankhamun",180,"Saqqara","Falaise du Bubasteion","Tomb of Amenhotep",180,"Falaise du Bubasteion","Egypt","N 29°52'23.04"" ","E 31°13'25.73""",,"122; 391; 626","ḥr.j pḏ.t; jm.j-rʾ ssm.wt; sẖꜣ.w nfr.w n nb tꜣ.wj"
